age_category,birth_institution,Country,sex
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,Albuquerque BioPark Zoo,United States of America,F
adult,AlphaGenesis (Lab Animal Breeders Svc),United States of America,M
adult,AlphaGenesis (Lab Animal Breeders Svc),United States of America,M
adult,AlphaGenesis (Lab Animal Breeders Svc),United States of America,M
adult,AlphaGenesis (Lab Animal Breeders Svc),United States of America,M
adult,AlphaGenesis (Lab Animal Breeders Svc),United States of America,M
adult,AlphaGenesis (Lab Animal Breeders Svc),United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
adult,Aquarium & Rainforest at Moody Gardens,United States of America,M
